CodDpto;CodDptoText;Dpto;Lat;Lon;Departamento;ClusterDepartamentoEscalado
91;91;Amazonas;-1,0197222;-71,9383333;AMAZONAS;4
5;05;Antioquia;7;-75,5;ANTIOQUIA;3
81;81;Arauca;7,0902778;-70,7616667;ARAUCA;5
8;08;AtlÃ¡ntico;10,75;-75;ATLANTICO;1
13;13;BolÃ­var;9;-74,3333333;BOLIVAR;1
15;15;BoyacÃ¡;5,5;-72,5;BOYACA;1
17;17;Caldas;5,25;-75,5;CALDAS;1
18;18;CaquetÃ¡;1;-74;CAQUETA;5
85;85;Casanare;5,5;-71,5;CASANARE;5
19;19;Cauca;2,5;-76,8333333;CAUCA;1
20;20;Cesar;9,3333333;-73,5;CESAR;5
27;27;ChocÃ³;6;-77;CHOCO;4
25;25;Cundinamarca;5;-74,1666667;CUNDINAMARCA;1
23;23;CÃ³rdoba;8,3333333;-75,6666667;CORDOBA;5
94;94;GuainÃ­a;2,5;-69;GUAINIA;2
95;95;Guaviare;1,6894444;-72,8202778;GUAVIARE;5
41;41;Huila;2,5;-75,75;HUILA;1
44;44;La Guajira;11,5;-72,5;LA GUAJIRA;4
47;47;Magdalena;10;-74,5;MAGDALENA;1
50;50;Meta;3,5;-73;META;1
52;52;NariÃ±o;1,5;-78;NARIÑO;1
54;54;Norte de Santander;8;-73;NORTE SANTANDER;1
86;86;Putumayo;0,5;-76;PUTUMAYO;5
63;63;QuindÃ­o;4,5;-75,6666667;QUINDIO;1
66;66;Risaralda;5;-76;RISARALDA;1
88;88;San AndrÃ©s;12,5847222;-81,7005556;SAN ANDRES;4
68;68;Santander;7;-73,25;SANTANDER;1
70;70;Sucre;9;-75;SUCRE;5
73;73;Tolima;3,75;-75,25;TOLIMA;1
76;76;Valle del Cauca;3,75;-76,5;VALLE;1
97;97;VaupÃ©s;0,25;-70,75;VAUPES;2
99;99;Vichada;5;-69,5;VICHADA;2
11;11;Bogota;4,6;-74,0833333;BOGOTA;3
